,keys,values
1223,Swimming Pool,"['M', 'Vacancy', 'Double Indemnity', 'A Nightmare on Elm Street', 'Chain Reaction', 'Air Force One', 'American Ninja', 'Chinjeolhan geumjassi', 'L.A. Confidential', 'Bad Boys', 'Cocoon', 'Mr. Brooks', 'A Shot in the Dark', 'In a Lonely Place', 'Kind Hearts and Coronets', 'The Big Sleep', 'Diva', 'No Way Out', 'Four Brothers', 'Swimming Pool', 'U.S. Marshals', 'À bout de souffle', 'Memento', 'See No Evil, Hear No Evil', 'Strangers on a Train', 'Hot Fuzz', 'Snow Falling on Cedars', 'The Number 23', 'Body Heat', 'Kate & Leopold', 'Rope', 'Charade', 'Road to Perdition', 'In the Heat of the Night', 'The Constant Gardener', 'Dead Again', '12 Angry Men', 'Identity', 'Copycat', 'The Neverending Story II: The Next Chapter', 'The Life of David Gale', 'The Maltese Falcon', ""The General's Daughter"", 'Touch of Evil', 'Witness', 'The Spanish Prisoner', 'The Tragedy of Macbeth', 'The Mexican', 'Murder by Numbers', 'Down and Out in Beverly Hills', 'The Amityville Horror']"
1224,The League of Extraordinary Gentlemen,"['The Rocketeer', 'Hauru no ugoku shiro', 'Back to the Future Part III', 'Der Himmel über Berlin', 'Sky Captain and the World of Tomorrow', 'The Brothers Grimm', 'The League of Extraordinary Gentlemen', 'Suchîmubôi']"
1225,S.W.A.T.,"['Mou gaan dou', 'Mississippi Burning', 'Hannibal', 'Dip huet seung hung', '3 Men and a Baby', 'American Gangster', 'Young Sherlock Holmes', 'Danny Deckchair', 'Alien Nation', 'Papurika', 'Taxi 2', 'Ghost Dog: The Way of the Samurai', 'Insomnia', 'Bad Boys II', 'The Long Good Friday', 'Jay and Silent Bob Strike Back', 'Serpico', 'Hot Fuzz', 'Rush Hour 2', 'Banlieue 13', 'The Departed', 'Salinui chueok', 'Cellular', 'Judge Dredd', 'Lethal Weapon', 'RoboCop', 'Police Academy', 'Fracture', 'Police Academy 3: Back in Training', 'Hostage', 'Showtime', 'S.W.A.T.']"
1226,Le charme discret de la bourgeoisie,"['Local Hero', 'Batoru rowaiaru', 'Eraserhead', 'Repo Man', 'Idioterne', 'Falling Down', ""Guess Who's Coming to Dinner"", 'Dogville', 'Persona', 'Pump Up the Volume', 'Le charme discret de la bourgeoisie', 'Mar adentro']"
1227,Matchstick Men,"['48 Hrs.', 'The Usual Suspects', 'Honey, I Shrunk the Kids', 'Mou gaan dou', 'Love and Death', 'Accepted', 'State and Main', 'Manhattan', ""Ulee's Gold"", 'The Prize Winner of Defiance, Ohio', 'Grosse Pointe Blank', 'Point Break', 'Honogurai mizu no soko kara', 'Nick of Time', 'Tsotsi', 'Superman III', 'The Dirty Dozen', 'Stardust Memories', 'Matchstick Men', 'Les rivières pourpres', 'Sleeper', 'Six-String Samurai', 'Rugrats Go Wild', 'Trekkies', 'Take the Money and Run', 'Norbit', 'People I Know', 'The River Wild', 'Movie Crazy', 'Blue Streak', 'Be Kind Rewind', 'Dirty Harry']"
1228,WarGames,"['WarGames', 'The Fog of War: Eleven Lessons from the Life of Robert S. McNamara', 'Revolution OS', 'The First $20 Million Is Always the Hardest', 'Colossus: The Forbin Project', 'Westworld', 'Octopussy', 'Tinker, Tailor, Soldier, Spy', ""Jumpin' Jack Flash"", 'Sneakers', 'The Hunt for Red October', 'Fail-Safe', 'Kôkaku kidôtai', 'Hackers', 'Office Space', 'The Good Shepherd', 'TRON', 'The Net', '2001: A Space Odyssey', 'The Peacemaker']"
1229,Fucking Åmål,"['Mystic Pizza', 'Pretty in Pink', 'Mulholland Dr.', 'Saved!', 'The Hours', 'Squirm', 'Housekeeping', 'Blue Velvet', 'Manhattan', 'From Hell', 'The New Guy', 'The Good Girl', 'The Iron Giant', 'Arachnophobia', 'Kissing Jessica Stein', 'Boys on the Side', 'Higher Learning', 'Sling Blade', 'Village of the Damned', 'Sixteen Candles', 'Heavenly Creatures', 'Tillsammans', 'Gremlins', 'Beetle Juice', 'The Libertine', 'Le professionnel', 'Varsity Blues', ""It's a Wonderful Life"", 'Dan in Real Life', 'Da hong deng long gao gao gua', 'Footloose', 'The One', 'Bound', 'Imagine Me & You', 'D.E.B.S.', 'In the Heat of the Night', 'High Plains Drifter', ""The Children's Hour"", 'Mermaids', 'Nattvardsgästerna', 'Waitress', 'Adventures in Babysitting', 'Ghost World', 'Silverado', 'Buffy the Vampire Slayer', 'Lolita', 'The Stepford Wives', 'The Next Karate Kid', 'My Cousin Vinny', 'The Opposite of Sex', 'Mystery, Alaska', 'Fucking Åmål', ""What's Eating Gilbert Grape"", 'Slither', 'To Kill a Mockingbird']"
1230,Mona Lisa Smile,"['Billy Madison', 'Renaissance Man', 'Pay It Forward', 'Dangerous Minds', 'Mona Lisa Smile', 'Monster', 'Notes on a Scandal']"
1231,The Butterfly Effect,"['Meet Me in St. Louis', 'Wallace & Gromit: The Best of Aardman Animation', 'Meet the Robinsons', 'Breaking the Waves', 'Austin Powers in Goldmember', 'The Accidental Tourist', 'Homeward Bound: The Incredible Journey', 'Love Actually', 'The Libertine', 'I Know What You Did Last Summer', 'The Butterfly Effect', 'One Hundred and One Dalmatians', 'Twelve Monkeys', 'Must Love Dogs', 'Hollow Man', 'Splash', 'Time Bandits', 'Scary Movie 2', 'Reality Bites', 'The Importance of Being Earnest', 'The Thing Called Love', 'The Longest Yard', 'The Notebook', 'Romeo + Juliet', 'Lady and the Tramp', 'Back to the Future Part III', 'Abre los ojos', 'Hable con ella', 'Punch-Drunk Love', 'Practical Magic', 'Balto', 'Primer', 'Wallace & Gromit in The Curse of the Were-Rabbit', 'The Mexican', 'Chicken Little', 'Othello', 'The Fabulous Baker Boys', 'Richard III', 'Mission to Mars', 'Moonstruck', 'Final Destination 2', 'A Boy and His Dog', 'Untamed Heart', 'Beethoven', 'Annie', 'Stalker', 'Frequency', 'Legend', 'Ghost', 'Scary Movie 4', 'Star Trek IV: The Voyage Home', 'Lola rennt', 'Slaughterhouse-Five', 'Benny & Joon', 'Indecent Proposal', 'Legends of the Fall', ""You've Got Mail"", 'La jetée', 'Finding Neverland', 'The Wiz', 'August Rush', 'Keeping the Faith', 'Win a Date with Tad Hamilton!', 'Lone Star State of Mind', 'Les visiteurs', 'Old Yeller', 'Noel', 'Como agua para chocolate', 'How the Grinch Stole Christmas', 'Timecop', 'Terminator 2: Judgment Day', 'The Brave One', 'White Palace', 'Best in Show', 'Terminator 3: Rise of the Machines', 'The Jackal', 'Les triplettes de Belleville', 'The Fountain', 'Major League', ""Before the Devil Knows You're Dead"", 'Wallace & Gromit in The Wrong Trousers', 'Mis', 'Meet Joe Black', 'Road to Perdition', 'Father of the Bride Part II', 'Il postino', 'Back to the Future', 'Danny the Dog', 'King Arthur', 'Witness', 'The Time Machine', 'Sien nui yau wan', 'Bottle Rocket']"
1232,Ocean's Thirteen,"['Gwoemul', 'Strictly Ballroom', 'The Flintstones in Viva Rock Vegas', ""Dead Man's Shoes"", ""Ocean's Thirteen"", ""Ocean's Twelve"", 'The Taking of Pelham One Two Three', 'The Count of Monte Cristo', 'Kickboxer', 'High Sierra', 'Three Kings', 'Cape Fear', 'The Cable Guy', 'What Happens in Vegas', 'The Ladykillers', 'Chinjeolhan geumjassi', ""Bill & Ted's Excellent Adventure"", 'The Godfather: Part II', 'Swordfish', ""The Devil's Rejects"", 'Patriot Games', 'Young Sherlock Holmes', 'Seppuku', 'El espinazo del diablo', 'Entrapment', 'Addicted to Love', 'Topkapi', '3000 Miles to Graceland', 'Casino', 'Oldeuboi', 'The Outlaw Josey Wales', 'The Hills Have Eyes II', 'Get Carter', 'Die Hard', 'Batman Returns', 'The Quick and the Dead', ""Ocean's Eleven"", 'High Plains Drifter', 'A Fish Called Wanda', 'Kill Bill: Vol. 2', 'Out of Sight', 'Croupier', ""Pirates of the Caribbean: Dead Man's Chest"", 'Dog Day Afternoon', 'Revenge of the Nerds II: Nerds in Paradise', 'Fear and Loathing in Las Vegas', 'The Magnificent Ambersons', 'The Fog', 'Léon', 'The Searchers', 'Rat Race', 'The Bank Job', 'Payback', 'The Italian Job', ""Bill & Ted's Bogus Journey"", 'Star Trek: The Wrath of Khan', 'Unforgiven']"
1233,The Girl Next Door,"['Saw III', 'Blue Velvet', 'Sånger från andra våningen', 'Tystnaden', 'The 40 Year Old Virgin', ""White Men Can't Jump"", 'Marie Antoinette', 'A History of Violence', 'Miss Pettigrew Lives for a Day', 'Stakeout', 'Prozac Nation', 'The Quiet', 'Desperado', 'The Full Monty', 'Red Sonja', 'Cat People', 'Striptease', 'Closer', ""Carlito's Way"", 'Roxanne', 'Dead Calm', 'Romeo + Juliet', 'Stage Beauty', 'Invasion of the Body Snatchers', 'Sixteen Candles', 'Le professionnel', 'Das Experiment', 'The Dukes of Hazzard', 'Body Heat', 'Dracula', 'Van Wilder', '21 Grams', 'Ken Park', 'The Unbearable Lightness of Being', 'The Faculty', 'Fast Times at Ridgemont High', 'The Three Burials of Melquiades Estrada', 'Rumor Has It...', 'After Hours', 'Hotel Rwanda', 'Alpha Dog', 'The Tailor of Panama', 'About Schmidt', 'Wedding Crashers', 'The Man Who Fell to Earth', 'Scary Movie 4', 'Eastern Promises', 'The People vs. Larry Flynt', 'The Last Kiss', 'Forgetting Sarah Marshall', 'Derailed', 'Beautiful People', 'Waking the Dead', 'Chasing Liberty', 'The Omen', 'Hatuna Meuheret', 'Se, jie', 'End of Days', 'The Lookout', 'Amores Possíveis', 'Knocked Up', 'Saw IV', 'American Pie', 'Hostel', ""Grandma's Boy"", 'The Girl Next Door', 'Fast Food Fast Women', 'Not Another Teen Movie', 'Believers', 'Nineteen Eighty-Four', 'The Juror', 'Single White Female', 'The Color of Money', 'The Heartbreak Kid', 'Dorm Daze 2', 'The Constant Gardener', 'The Cider House Rules', 'Lethal Weapon', 'Le retour de Martin Guerre', 'Witness', ""You Don't Mess with the Zohan"", 'Chaplin']"
1234,Spartan,"['The Fabulous Baker Boys', 'Godzilla, King of the Monsters!', 'Ruthless People', 'Terminator Salvation', 'Ace Ventura: When Nature Calls', 'Kiss Kiss Bang Bang', 'Gone Baby Gone', 'Best Laid Plans', '3000 Miles to Graceland', 'A Funny Thing Happened on the Way to the Forum', 'Io non ho paura', 'Kiss the Girls', 'Deuce Bigalow: Male Gigolo', 'A Life Less Ordinary', 'The Golden Compass', 'Man on Fire', 'Saving Silverman', 'Antz', 'Spartan', 'Mystic River', ""The Making of 'Along Came a Spider'"", 'Starman']"
1235,Taking Lives,"['Scream 3', 'The Hitcher', 'M', 'Friday the 13th Part 2', 'Frenzy', 'A Nightmare on Elm Street', 'Scream', 'Sweeney Todd: The Demon Barber of Fleet Street', 'Haute tension', ""Child's Play 3"", 'Manhunter', 'The Frighteners', 'The Silence of the Lambs', 'Bad Boys', 'Taking Lives', 'Frequency', 'Mr. Brooks', 'The French Connection', ""Child's Play 2"", 'Death Proof', 'The Bone Collector', 'Saw II', 'Heat', 'Friday the 13th', 'Kiss the Girls', 'The Cell', 'Rush Hour 2', 'Salinui chueok', 'Fallen', 'Identity', 'Copycat', 'Proof', 'Urban Legends: Final Cut', 'Zodiac', 'Malice', 'Natural Born Killers', 'Sweet Home Alabama', 'Halloween 5', 'Frailty']"
1236,Mean Girls,"['Cinderella', 'Running on Empty', 'Mean Girls', 'Grease', 'The Princess Diaries', 'Walkabout', 'Bring It On', 'School Ties', 'Riding in Cars with Boys', 'Above the Rim', 'The Man Without a Face', 'When a Stranger Calls', 'Nuovo Cinema Paradiso', 'Clueless', 'Mitt liv som hund', ""Can't Hardly Wait"", 'Sixteen Candles', ""Mr. Holland's Opus"", ""She's All That"", 'Bom yeoreum gaeul gyeoul geurigo bom', 'Superbad', 'Lucas', 'A Bronx Tale', 'Ginger Snaps', 'Real Genius', 'Varsity Blues', 'Stand by Me', 'Election', 'The Yearling', 'Les quatre cents coups', 'Biloxi Blues', 'Jisatsu sâkuru', 'Dirty Dancing', 'Mermaids', ""Ferris Bueller's Day Off"", 'A Guide to Recognizing Your Saints', 'Fast Times at Ridgemont High', 'A Little Romance', 'Ghost World', 'The Breakfast Club', ""Don't Tell Mom the Babysitter's Dead"", 'The Dream Catcher', 'The Brady Bunch Movie', 'Lean on Me', 'Sky High', 'Tape', 'Rushmore', 'Napoleon Dynamite', 'A River Runs Through It']"
1237,Troy,"['Alexander', 'Hiroshima mon amour', 'L.A. Story', 'Philadelphia', 'Moskva slezam ne verit', 'Troy']"
1238,You Only Live Twice,"['Gojira', 'Empire of the Sun', 'Flags of Our Fathers', 'You Only Live Twice', 'Sleeping with the Enemy', 'Shall we dansu?', 'Kakushi-toride no san-akunin', 'Shichinin no samurai', 'Sans soleil', 'Wanted', 'Sweet Home Alabama', 'American Ninja', 'The Fast and the Furious: Tokyo Drift', 'Tasogare Seibei', 'Zatôichi', 'Snake Eyes']"
1239,Cypher,"['The Sixth Sense', 'Demolition Man', 'The Usual Suspects', 'Simon', 'Cube Zero', 'eXistenZ', 'The Holiday', 'The Skeleton Key', 'Notorious', ""My Boss's Daughter"", 'Cypher', 'Before Sunrise', 'THX 1138', 'Saw', 'Strange Days', 'Johnny Mnemonic', 'Innocence', 'Nineteen Eighty-Four', 'Akira', 'Equilibrium', 'The Others', 'Les diaboliques', 'The Ghost and the Darkness', 'Kôkaku kidôtai', 'Hackers', 'They Live', 'Sleuth', 'Fight Club', 'The Last Starfighter', 'Deathtrap', 'Artificial Intelligence: AI', 'The Bourne Ultimatum', 'Roman Holiday', 'Frailty', ""My Best Friend's Wedding""]"
1240,Children of Dune,[]
1241,Tystnaden,"['Nine 1/2 Weeks', 'Roxanne', 'Hotel Rwanda', 'Alpha Dog', 'About Schmidt', 'Wedding Crashers', 'The Girl Next Door', 'The Last Kiss', 'Le professionnel', 'Derailed', 'Tystnaden', 'Fast Food Fast Women', 'Not Another Teen Movie', 'Believers', 'Chasing Liberty', 'Marie Antoinette', 'Hatuna Meuheret', 'Miss Pettigrew Lives for a Day', 'Se, jie', 'The Constant Gardener', 'Stakeout', 'The Faculty', 'Amores Possíveis', 'Chaplin', 'American Pie']"
1242,Mou gaan dou,"['The Last Boy Scout', 'Jagged Edge', 'Hannibal', 'Dip huet seung hung', 'Tinker, Tailor, Soldier, Spy', 'Minority Report', 'Buffalo Soldiers', 'Insomnia', 'Last Man Standing', 'Jay and Silent Bob Strike Back', 'Oldeuboi', 'Les rivières pourpres', 'Cowboy Bebop: Tengoku no tobira', 'Blood Simple.', 'Zero Effect', 'The Score', 'Dark Blue', 'RoboCop', 'Malice', 'Police Academy', 'Sin City', 'Hostage', 'Payback', 'Brick', '3 Men and a Baby', 'Young Sherlock Holmes', 'Alien Nation', 'Point Break', ""Miller's Crossing"", 'Tsotsi', 'Chinatown', 'Bad Boys II', 'The Dirty Dozen', 'Body Heat', 'The Departed', 'Cellular', 'Dirty Harry', 'Der amerikanische Freund', '48 Hrs.', 'Presumed Innocent', 'Mou gaan dou', 'Mississippi Burning', 'L.A. Confidential', 'No Way Out', 'Reservoir Dogs', 'Papurika', 'The Thirteenth Floor', 'Pulp Fiction', 'Banlieue 13', '25th Hour', 'Pacific Heights', 'Dark City', 'Fallen', 'No Country for Old Men', 'Take the Money and Run', 'Showtime', 'Blue Streak', 'S.W.A.T.', 'Children of Men', 'The Usual Suspects', 'Manhunter', 'Coach Carter', 'American Gangster', 'Kiss Kiss Bang Bang', 'Taxi Driver', ""Don't Say a Word"", 'Matchstick Men', ""The Man Who Wasn't There"", 'Taxi', 'Serpico', 'Hot Fuzz', 'Salinui chueok', 'Judge Dredd', 'Lethal Weapon', 'Fracture', 'The River Wild', 'Police Academy 3: Back in Training']"
1243,Kikujirô no natsu,"['The Sixth Sense', 'Living in Oblivion', 'Demolition Man', 'Dreamscape', 'War of the Buttons', 'Sgt. Bilko', 'Pay It Forward', 'Eraserhead', 'Escape from New York', 'The United States of Leland', 'Cape Fear', 'The Frighteners', 'Street Kings', 'Lat sau san taam', 'Once', 'When a Stranger Calls', 'Die Blechtrommel', 'Junior', 'The Adventures of Pluto Nash', 'Peter Pan', 'Candyman: Farewell to the Flesh', 'Fail-Safe', 'A Nightmare on Elm Street 3: Dream Warriors', 'Raw Deal', 'The Client', 'Kikujirô no natsu', 'Io non ho paura', 'Ultraviolet', 'Damien: Omen II', 'Paradise Lost: The Child Murders at Robin Hood Hills', 'Angels in the Outfield', 'Salinui chueok', 'Cellular', 'Beavis and Butt-Head Do America', ""Boys Don't Cry"", 'Yi ge dou bu neng shao', 'The Godfather: Part III', 'High Plains Drifter', 'The Score', ""Ferris Bueller's Day Off"", 'Lock, Stock and Two Smoking Barrels', 'Elephant', 'Les choristes', 'The Boy Who Could Fly', 'Payback', 'Open Range', 'About a Boy', 'Vanilla Sky', 'The Spiderwick Chronicles', 'James and the Giant Peach', 'The Passion of the Christ', 'Rules of Engagement']"
1244,Escape from Alcatraz,"['The Rock', ""Nim's Island"", 'Last Night', 'Cast Away', 'Six Days Seven Nights', 'Mississippi Burning', 'Stir Crazy', 'Capote', 'Escape from L.A.', 'Dont Look Back', ""Buffalo '66"", 'American History X', 'The Blue Lagoon', 'Backbeat', 'Dead Presidents', 'Chicago', 'Kind Hearts and Coronets', 'Mindhunters', '2046', 'Bridget Jones: The Edge of Reason', 'Hearts in Atlantis', 'That Thing You Do!', 'Murder in the First', 'Hook', 'Walk the Line', 'King Kong', 'The Shawshank Redemption', ""A Hard Day's Night"", 'Return to Paradise', 'Mean Machine', 'Welcome to Collinwood', 'Ali', ""L'avventura"", 'Cool Hand Luke', 'The Island', 'The Year of Living Dangerously', 'Chopper', 'The Karate Kid, Part II', 'Joe Versus the Volcano', 'Dirty Dancing', 'Il postino', 'Out of Sight', 'Hairspray', 'In the Name of the Father', 'Escape from Alcatraz', 'Men of Honor', 'The Bridges of Madison County', ""Guess Who's Coming to Dinner"", 'He Got Game', 'Thunderbirds', 'The Beach']"
1245,Memphis Belle,"['Memphis Belle', ""Twelve O'Clock High"", 'Pearl Harbor', 'Hope and Glory', 'Hot Shots!']"
1246,Dodgeball: A True Underdog Story,"[""Pirates of the Caribbean: At World's End"", 'Tenkû no shiro Rapyuta', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'Sinbad: Legend of the Seven Seas', 'Glory Road', 'Next', 'Bend It Like Beckham', 'Dodgeball: A True Underdog Story', 'Bloodsport', 'Harry Potter and the Goblet of Fire', 'The Myth of Fingerprints', 'Rocky V', 'Captain Blood']"
1247,Before Sunset,"['Vacation', 'Death and the Maiden', 'The Village', 'Total Recall', 'My Big Fat Greek Wedding', 'Saw III', 'Maverick', 'Transporter 2', 'A Shot in the Dark', 'Harry Potter and the Chamber of Secrets', 'Rosencrantz & Guildenstern Are Dead', 'Hellraiser: Bloodline', 'Before Sunset', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Police Academy 6: City Under Siege', 'The Legend of Zorro', 'Bad Boys II', 'The Naked Gun 2½: The Smell of Fear', 'Camp', 'Ging chat goo si 3: Chiu kup ging chat', 'Go', 'Manon des sources', 'Shrek 2', ""City Slickers II: The Legend of Curly's Gold"", 'Godzilla', 'Highlander III: The Sorcerer', 'Christmas Vacation', 'Rocky III', 'The Man from Earth', 'Lara Croft Tomb Raider: The Cradle of Life', 'The Gods Must Be Crazy II', '12 Angry Men', 'Kung Fu Panda', 'Kung fu', ""Look Who's Talking Too"", 'Secrets & Lies', 'Rambo: First Blood Part II', 'Glengarry Glen Ross', 'Duo luo tian shi', 'Superman II', 'Bride of Frankenstein']"
1248,Garden State,"['Eulogy', 'Garfield: A Tail of Two Kitties', 'Driving Miss Daisy', 'Garden State', 'The Final Cut', 'Kiss Kiss Bang Bang', 'Hellboy II: The Golden Army', 'Uncle Buck', 'Homeward Bound: The Incredible Journey', 'The AristoCats', 'While You Were Sleeping', 'Four Brothers', 'Harold and Maude', ""Logan's Run"", 'Austin Powers: International Man of Mystery', 'Majo no takkyûbin', 'Diamonds Are Forever', 'Four Weddings and a Funeral', 'Charade', 'Prime', 'Star Trek: Generations', 'The Rugrats Movie', 'Hiroshima mon amour', ""I'm Not There."", ""Cat's Eye"", 'Galaxy Quest', 'The Life and Death of Peter Sellers', 'Death at a Funeral', 'Star Trek: The Wrath of Khan']"
1249,Wicker Park,"['Pi', 'Grizzly Man', 'Love and Death on Long Island', 'Eternal Sunshine of the Spotless Mind', 'The Cable Guy', 'The Limey', 'Vantage Point', 'Wicker Park', 'Reservoir Dogs', 'Possession', 'Memento', 'Babel', 'Harry and the Hendersons', 'Pulp Fiction', 'The Number 23', 'Following', 'Amores perros', 'The Manchurian Candidate', 'Jackie Brown', 'Cold Mountain', 'Primer', 'Trzy kolory: Bialy', 'American Beauty', 'Rashômon', 'Le grand bleu', '11:14']"
1250,Cellular,"['Straw Dogs', 'Demolition Man', 'Mou gaan dou', 'Escape from New York', 'Mississippi Burning', 'Cape Fear', 'Street Kings', 'Hannibal', 'Lat sau san taam', 'Dip huet seung hung', '3 Men and a Baby', 'Once', 'American Gangster', 'When a Stranger Calls', 'Vantage Point', 'Young Sherlock Holmes', 'Alien Nation', 'The Adventures of Pluto Nash', 'Papurika', 'Funny Games U.S.', 'Candyman: Farewell to the Flesh', 'Flight of the Phoenix', 'Insomnia', 'Raw Deal', 'Bad Boys II', 'Kikujirô no natsu', 'The Mothman Prophecies', 'Jay and Silent Bob Strike Back', 'Serpico', 'Hot Fuzz', 'Banlieue 13', 'Kalifornia', 'The Departed', 'Salinui chueok', 'Cellular', 'Beavis and Butt-Head Do America', 'Pacific Heights', 'The Godfather: Part III', 'Judge Dredd', ""Boys Don't Cry"", 'Lethal Weapon', 'Elephant', 'Lock, Stock and Two Smoking Barrels', 'RoboCop', 'Police Academy', 'Fracture', 'Police Academy 3: Back in Training', 'Hostage', 'Showtime', 'Open Range', 'S.W.A.T.', 'The Passion of the Christ', 'Rules of Engagement']"
